股东代码,别称
10061230,中央汇金投资
10108216,诚通控股
10506881,中央汇金资管
10529245,国新投资
70010000,社保基金(总)
70010001,社保1
70010002,社保002
70010003,社保003
70010006,社保006
70010010,社保10
70010020,社保020
70010101,社保101
70010102,社保102
70010103,社保103
70010104,社保104
70010105,社保105
70010106,社保106
70010107,社保107
70010108,社保108
70010109,社保109
70010110,社保110
70010111,社保111
70010112,社保112
70010113,社保113
70010114,社保114
70010115,社保115
70010116,社保116
70010117,社保117
70010118,社保118
70010401,社保401
70010402,社保402
70010403,社保403
70010404,社保404
70010406,社保406
70010407,社保407
70010408,社保408
70010409,社保409
70010411,社保411
70010412,社保412
70010413,社保413
70010414,社保414
70010415,社保415
70010416,社保416
70010417,社保417
70010418,社保418
70010501,社保501
70010502,社保502
70010503,社保503
70010504,社保504
70010601,社保601
70010602,社保602
70010603,社保603
70010604,社保604
70401360,社保131
70401592,社保11
70401986,社保209
70407232,银华-社保1105
70407233,中信证券-社保1106
70407626,社保6028
70412524,社保1103
70412660,大成-社保1101
70412824,社保4114
70413014,博时-社保419
70413064,汇添富-社保423
70413065,国泰-社保421
70413066,汇添富-社保1502
70413155,易方达-社保1104
70413715,华夏-社保422
70413910,富国-社保1501
70415161,汇添富-社保17021
70415423,博时-社保16011
70415551,大成-社保17011
70415579,汇添富-社保1103
70415580,国泰-社保1102
70415581,广发-社保420
70416123,华夏-社保16021
70416492,易方达-社保17041
70416911,招商-社保1503
70416912,鹏华-社保17031
70417299,嘉实-社保16041
70417300,鹏华-社保16051
70417483,中信证券-社保17051
70418663,汇添富-社保16031
70420979,富国-社保1801
70420984,招商-社保1903
70420986,中金-社保1805
70421259,中信证券-社保17052
70421331,嘉实-社保16042
70421333,易方达-社保17042
70421337,博时-社保16012
70421373,汇添富-社保17022
70421389,汇添富-社保16032
70422205,招商-社保2108
70422212,大成-社保2001
70422376,广发-社保2003
70422382,易方达-社保2106
70422436,银华-社保2107
70422454,华夏-社保2104
70423987,中金-社保2008
70423997,汇添富-社保1902
70423999,银华-社保2006
70424003,富国-社保2101
70424005,汇添富-社保2105
70424006,汇添富-社保1802
70424007,嘉实-社保2005
70424229,鹏华-社保1804
70428600,国泰-社保2103
70429138,博时-社保划转3001
70429761,国泰-社保2004
70429812,易方达-社保划转3008
70430544,广发-社保划转3005
