股票代码,市场类型,行业链接
000001,sz,480301
000002,sz,430101
000004,sz,710402
000006,sz,430101
000007,sz,450304
000008,sz,640501
000009,sz,630702
000010,sz,620307
000011,sz,430101
000012,sz,610201
000014,sz,430101
000016,sz,330106
000017,sz,350301
000019,sz,110502
000020,sz,270301
000021,sz,270504
000025,sz,510101
000026,sz,350301
000027,sz,410101
000028,sz,370402
000029,sz,430101
000030,sz,280203
000031,sz,430102
000032,sz,620404
000034,sz,710301
000035,sz,760103
000036,sz,430101
000037,sz,410101
000039,sz,640108
000042,sz,430101
000045,sz,270301
000048,sz,110702
000049,sz,630701
000050,sz,270301
000055,sz,610303
000056,sz,430301
000058,sz,450304
000059,sz,750301
000060,sz,240303
000061,sz,450304
000062,sz,270401
000063,sz,730204
000065,sz,620403
000066,sz,710103
000068,sz,760104
000069,sz,430102
000070,sz,730205
000078,sz,370402
000088,sz,421102
000089,sz,421002
000090,sz,430101
000096,sz,750302
000099,sz,421001
000100,sz,270301
000151,sz,450201
000153,sz,370102
000155,sz,410107
000156,sz,721001
000157,sz,640601
000158,sz,710301
000159,sz,630504
000166,sz,490101
000301,sz,750301
000333,sz,330102
000338,sz,280203
000400,sz,630803
000401,sz,610101
000402,sz,430102
000403,sz,370302
000404,sz,330601
000407,sz,410301
000408,sz,240603
000409,sz,710301
000410,sz,640101
000411,sz,370402
000415,sz,490305
000417,sz,450303
000419,sz,450303
000420,sz,220403
000421,sz,510101
000422,sz,220801
000423,sz,370201
000425,sz,640601
000426,sz,240303
000428,sz,460901
000429,sz,420901
000430,sz,461003
000488,sz,360102
000498,sz,620306
000501,sz,450301
000503,sz,710401
000504,sz,370605
000505,sz,110502
000506,sz,240401
000507,sz,410107
000509,sz,270301
000510,sz,220202
000513,sz,370102
000514,sz,430101
000516,sz,370604
000517,sz,430101
000518,sz,370304
000519,sz,650301
000520,sz,421101
000521,sz,330106
000523,sz,510101
000524,sz,461004
000525,sz,220803
000526,sz,461102
000528,sz,640601
000529,sz,340401
000530,sz,640105
000531,sz,410101
000532,sz,490307
000533,sz,630801
000534,sz,370304
000536,sz,270301
000537,sz,410107
000538,sz,370201
000539,sz,410101
000541,sz,330501
000543,sz,410101
000544,sz,760102
000545,sz,220206
000546,sz,760103
000547,sz,650501
000548,sz,420901
000550,sz,280601
000551,sz,760201
000552,sz,740101
000553,sz,220803
000554,sz,750302
000555,sz,710301
000557,sz,420903
000558,sz,461003
000559,sz,280203
000560,sz,430302
000561,sz,650201
000563,sz,490304
000564,sz,450301
000565,sz,220305
000566,sz,370102
000567,sz,490307
000568,sz,340501
000570,sz,280203
000571,sz,740101
000572,sz,280502
000573,sz,430101
000576,sz,650301
000581,sz,280203
000582,sz,421102
000586,sz,730205
000589,sz,280204
000590,sz,370201
000591,sz,410106
000592,sz,110301
000593,sz,410301
000595,sz,640108
000596,sz,340501
000597,sz,370102
000598,sz,760102
000599,sz,280204
000600,sz,410101
000601,sz,410102
000603,sz,240303
000605,sz,760102
000607,sz,720502
000608,sz,430102
000609,sz,430101
000610,sz,461004
000612,sz,240301
000615,sz,770302
000617,sz,490302
000619,sz,610303
000620,sz,430101
000623,sz,370201
000625,sz,280502
000626,sz,420802
000628,sz,620101
000629,sz,230302
000630,sz,240302
000631,sz,430101
000632,sz,510101
