股东代码,股东名称,股票代码,股票简称,报告期,公告日,数量,流通市值
70413155,易方达基金管理有限公司-社保基金1104组合,603833,欧派家居,2025-06-30,2025-08-30,3250000,183000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2025-06-30,2025-08-30,22500000,463000000
70413155,易方达基金管理有限公司-社保基金1104组合,603167,渤海轮渡,2025-06-30,2025-08-26,4300000,49020000
70413155,易方达基金管理有限公司-社保基金1104组合,002003,伟星股份,2025-06-30,2025-08-23,25800000,281000000
70413155,易方达基金管理有限公司-社保基金1104组合,603833,欧派家居,2025-03-31,2025-04-30,3250000,202999999
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2025-03-31,2025-04-30,22500000,518000000
70413155,易方达基金管理有限公司-社保基金1104组合,002003,伟星股份,2025-03-31,2025-04-29,25500000,306000000
70413155,易方达基金管理有限公司-社保基金1104组合,603833,欧派家居,2024-12-31,2025-04-26,3254000,224000000
70413155,易方达基金管理有限公司-社保基金1104组合,000933,神火股份,2025-03-31,2025-04-22,20000000,375000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2024-12-31,2025-04-01,22500000,550000000
70413155,易方达基金管理有限公司-社保基金1104组合,002003,伟星股份,2024-12-31,2025-03-29,25500000,361000000
70413155,易方达基金管理有限公司-社保基金1104组合,000933,神火股份,2024-12-31,2025-03-25,20000000,338000000
70413155,易方达基金管理有限公司-社保基金1104组合,000933,神火股份,2024-12-30,2025-01-03,20000000,340000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2024-09-30,2024-10-31,22500000,621000000
70413155,易方达基金管理有限公司-社保基金1104组合,603833,欧派家居,2024-09-30,2024-10-29,3250000,202999999
70413155,易方达基金管理有限公司-社保基金1104组合,002003,伟星股份,2024-09-30,2024-10-29,24900000,347000000
70413155,易方达基金管理有限公司-社保基金1104组合,000933,神火股份,2024-09-30,2024-10-22,18000000,361000000
70413155,易方达基金管理有限公司-社保基金1104组合,603833,欧派家居,2024-06-30,2024-08-31,3360000,180000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2024-06-30,2024-08-31,24140000,530000000
70413155,易方达基金管理有限公司-社保基金1104组合,600886,国投电力,2024-03-31,2024-04-30,37600000,566000000
70413155,易方达基金管理有限公司-社保基金1104组合,600886,国投电力,2023-12-31,2024-04-30,38720000,509999999
70413155,易方达基金管理有限公司-社保基金1104组合,601298,青岛港,2024-03-31,2024-04-27,15090000,112000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2024-03-31,2024-04-27,25960000,628000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2023-12-31,2024-03-29,25340000,491000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2023-09-30,2023-10-31,26090000,505000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2023-09-30,2023-10-28,89990000,447000000
70413155,易方达基金管理有限公司-社保基金1104组合,600886,国投电力,2023-09-30,2023-10-28,41000000,483000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2023-06-30,2023-08-31,89240000,436000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2023-06-30,2023-08-31,26090000,483000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2023-03-31,2023-04-29,25990000,443000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2023-03-31,2023-04-28,90000000,419000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2022-12-31,2023-03-31,90000000,416000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2022-12-31,2023-03-29,24630000,390000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2022-09-30,2022-10-29,25850000,354000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2022-09-30,2022-10-27,89870000,401000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2022-06-30,2022-08-31,25100000,370000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2022-06-30,2022-08-23,89840000,484000000
70413155,易方达基金管理有限公司-社保基金1104组合,601658,邮储银行,2022-03-31,2022-04-30,88810000,479000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2022-03-31,2022-04-29,10450000,169000000
70413155,易方达基金管理有限公司-社保基金1104组合,601225,陕西煤业,2022-03-31,2022-04-28,32210000,530000000
70413155,易方达基金管理有限公司-社保基金1104组合,601225,陕西煤业,2021-12-31,2022-04-28,37710000,459999999
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-12-31,2022-04-01,2377000,148000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2021-12-31,2022-03-31,18290000,263000000
70413155,易方达基金管理有限公司-社保基金1104组合,601088,中国神华,2021-12-31,2022-03-26,21770000,490000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-12-13,2021-12-15,3064000,200000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2021-09-30,2021-10-30,8365000,123000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2021-09-30,2021-10-27,32390000,367000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-09-30,2021-10-27,7410000,346000000
70413155,易方达基金管理有限公司-社保基金1104组合,002242,九阳股份,2021-06-30,2021-08-31,10790000,351000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-06-30,2021-08-27,6687000,426999999
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2021-06-30,2021-08-24,34000000,425000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-04-30,2021-05-08,6700000,505000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2021-03-31,2021-04-30,6000000,72240000
70413155,易方达基金管理有限公司-社保基金1104组合,002242,九阳股份,2021-03-31,2021-04-30,11000000,339000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-04-22,2021-04-29,6700000,469000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2021-03-31,2021-04-28,34000000,488000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2021-03-31,2021-04-23,6700000,479000000
70413155,易方达基金管理有限公司-社保基金1104组合,002242,九阳股份,2020-12-31,2021-04-01,8900000,285000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2020-12-31,2021-04-01,5700000,445000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2020-12-31,2021-03-30,34000000,575000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2020-12-31,2021-03-25,6000000,74700000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2020-09-30,2020-10-31,6000000,78600000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2020-09-30,2020-10-28,34000000,534000000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2020-09-30,2020-10-27,4500000,356000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2020-06-30,2020-08-29,6000000,79980000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2020-06-30,2020-08-28,4372000,310000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2020-06-30,2020-08-25,31100000,379000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2020-03-31,2020-04-30,6000000,79200000
70413155,易方达基金管理有限公司-社保基金1104组合,002032,苏泊尔,2020-03-31,2020-04-29,3160000,218000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2020-03-31,2020-04-28,30000000,411000000
70413155,易方达基金管理有限公司-社保基金1104组合,600004,白云机场,2020-03-31,2020-04-28,22200000,279000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2019-12-31,2020-04-28,6000000,105000000
70413155,易方达基金管理有限公司-社保基金1104组合,600004,白云机场,2019-12-31,2020-04-28,23200000,405000000
70413155,易方达基金管理有限公司-社保基金1104组合,002242,九阳股份,2019-12-31,2020-04-01,8500000,214000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2019-12-31,2020-03-31,29490000,420000000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2019-09-30,2019-10-31,6000000,97020000
70413155,易方达基金管理有限公司-社保基金1104组合,002242,九阳股份,2019-09-30,2019-10-31,11930000,261000000
70413155,易方达基金管理有限公司-社保基金1104组合,600066,宇通客车,2019-09-30,2019-10-29,29300000,407000000
70413155,易方达基金管理有限公司-社保基金1104组合,600004,白云机场,2019-09-30,2019-10-29,23600000,530000000
70413155,易方达基金管理有限公司-社保基金1104组合,600004,白云机场,2019-06-30,2019-08-31,24370000,444000000
70413155,易方达基金管理有限公司-社保基金1104组合,002242,九阳股份,2019-06-30,2019-08-15,4800000,99890000
70413155,易方达基金管理有限公司-社保基金1104组合,600007,中国国贸,2025-09-30,2025-10-31,22500000,458000000
70413155,易方达基金管理有限公司-社保基金1104组合,002003,伟星股份,2025-09-30,2025-10-29,25800000,263000000
70413155,易方达基金管理有限公司-社保基金1104组合,000933,神火股份,2025-09-30,2025-10-21,18500000,370000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2025-09-30,2025-10-31,28590000,331000000
10108216,中国诚通控股集团有限公司,601872,招商轮船,2025-09-30,2025-10-30,164000000,1454000000
10108216,中国诚通控股集团有限公司,000999,华润三九,2025-09-30,2025-10-25,33870000,951000000
10108216,中国诚通控股集团有限公司,002128,电投能源,2025-09-30,2025-10-24,53630000,1210000000
10108216,中国诚通控股集团有限公司,600489,中金黄金,2025-06-30,2025-08-29,33450000,488999999
10108216,中国诚通控股集团有限公司,601872,招商轮船,2025-06-30,2025-08-28,195000000,1219000000
10108216,中国诚通控股集团有限公司,002916,深南电路,2025-06-30,2025-08-28,2006000,216000000
10108216,中国诚通控股集团有限公司,002128,电投能源,2025-06-30,2025-08-28,61080000,1208000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2025-06-30,2025-08-27,28590000,319000000
10108216,中国诚通控股集团有限公司,600795,国电电力,2025-06-30,2025-08-19,235000000,1136000000
10108216,中国诚通控股集团有限公司,000999,华润三九,2025-06-30,2025-08-16,33870000,1060000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2025-03-31,2025-04-30,28590000,330000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2024-12-31,2025-04-04,28590000,315000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2024-09-30,2024-10-31,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2024-06-30,2024-08-28,28590000,227999999
10108216,中国诚通控股集团有限公司,601198,东兴证券,2024-03-31,2024-04-27,28590000,227999999
10108216,中国诚通控股集团有限公司,601198,东兴证券,2023-12-31,2024-04-04,28590000,235000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2023-09-30,2023-10-31,28590000,231999999
10108216,中国诚通控股集团有限公司,601198,东兴证券,2023-06-30,2023-08-11,28590000,229000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2023-03-31,2023-04-28,28590000,240000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2022-12-31,2023-03-31,28590000,221000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2022-09-30,2022-10-29,28590000,212000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2022-06-30,2022-08-26,28590000,254000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2021-06-30,2021-08-27,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2021-03-31,2021-04-29,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-12-31,2021-04-22,28590000,381000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-09-30,2020-10-31,28590000,367000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-06-30,2020-08-28,28590000,312000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-03-31,2020-04-30,28590000,312000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-12-31,2020-04-30,28590000,376000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-09-30,2019-10-30,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-06-30,2019-08-28,28590000,340000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-03-31,2019-04-27,28590000,395000000
