代码,名称,板块类型,板块名称,行业代码,行业名称
688727,,行业分类,申万行业,270103,未知行业
301638,,行业分类,申万行业,710301,公用事业
001233,,行业分类,申万行业,280204,未知行业
920091,,行业分类,申万行业,640209,化工
920003,,行业分类,申万行业,620601,化工
920160,,行业分类,申万行业,460802,机械设备
603237,,行业分类,申万行业,340406,医药生物
688552,,行业分类,申万行业,650501,化工
688775,,行业分类,申万行业,270503,未知行业
002371,,行业分类,申万行业,270108,未知行业
688361,,行业分类,申万行业,270108,未知行业
688721,,行业分类,申万行业,270103,未知行业
688035,,行业分类,申万行业,270601,未知行业
688502,,行业分类,申万行业,270303,未知行业
600562,,行业分类,申万行业,650501,化工
920020,,行业分类,申万行业,280204,未知行业
920009,,行业分类,申万行业,370504,医药生物
688543,,行业分类,申万行业,650301,化工
600115,,行业分类,申万行业,421001,机械设备
601138,,行业分类,申万行业,270504,未知行业
600956,,行业分类,申万行业,410107,机械设备
601077,,行业分类,申万行业,480501,机械设备
601865,,行业分类,申万行业,630504,化工
300034,,行业分类,申万行业,650201,化工
688531,,行业分类,申万行业,640209,化工
688385,,行业分类,申万行业,270104,未知行业
600481,,行业分类,申万行业,630501,化工
600072,,行业分类,申万行业,630602,化工
688025,,行业分类,申万行业,640703,化工
301091,,行业分类,申万行业,620601,化工
603376,,行业分类,申万行业,280206,未知行业
300357,,行业分类,申万行业,370304,医药生物
001386,,行业分类,申万行业,360306,医药生物
601026,,行业分类,申万行业,220504,未知行业
688765,,行业分类,申万行业,370302,医药生物
002627,,行业分类,申万行业,461004,机械设备
603334,,行业分类,申万行业,220309,未知行业
603092,,行业分类,申万行业,630602,化工
688783,,行业分类,申万行业,270103,未知行业
688759,,行业分类,申万行业,370102,医药生物
603175,,行业分类,申万行业,270202,未知行业
600640,,行业分类,申万行业,720706,公用事业
688600,,行业分类,申万行业,640107,化工
688363,,行业分类,申万行业,770301,公用事业
300726,,行业分类,申万行业,650501,化工
688466,,行业分类,申万行业,760102,公用事业
300172,,行业分类,申万行业,760102,公用事业
600860,,行业分类,申万行业,640108,化工
605389,,行业分类,申万行业,640602,化工
000733,,行业分类,申万行业,650501,化工
688375,,行业分类,申万行业,650501,化工
600323,,行业分类,申万行业,760103,公用事业
002058,,行业分类,申万行业,640107,化工
300828,,行业分类,申万行业,640108,化工
605378,,行业分类,申万行业,630705,化工
300165,,行业分类,申万行业,640107,化工
300838,,行业分类,申万行业,640108,化工
600868,,行业分类,申万行业,410102,机械设备
688480,,行业分类,申万行业,760104,公用事业
600869,,行业分类,申万行业,630805,化工
600320,,行业分类,申万行业,640203,化工
688472,,行业分类,申万行业,630502,化工
688459,,行业分类,申万行业,640501,化工
688376,,行业分类,申万行业,760201,公用事业
688455,,行业分类,申万行业,640704,化工
605577,,行业分类,申万行业,720901,公用事业
688027,,行业分类,申万行业,730206,公用事业
300183,,行业分类,申万行业,730207,公用事业
688448,,行业分类,申万行业,640106,化工
600847,,行业分类,申万行业,630705,化工
688450,,行业分类,申万行业,640107,化工
300182,,行业分类,申万行业,720601,公用事业
300177,,行业分类,申万行业,650501,化工
300827,,行业分类,申万行业,630503,化工
600815,,行业分类,申万行业,640601,化工
002079,,行业分类,申万行业,630702,化工
600855,,行业分类,申万行业,650501,化工
002053,,行业分类,申万行业,410107,机械设备
688032,,行业分类,申万行业,630503,化工
300222,,行业分类,申万行业,630803,化工
300173,,行业分类,申万行业,630703,化工
300159,,行业分类,申万行业,640207,化工
688485,,行业分类,申万行业,640501,化工
300820,,行业分类,申万行业,630306,化工
688503,,行业分类,申万行业,630504,化工
300720,,行业分类,申万行业,640107,化工
000719,,行业分类,申万行业,720902,公用事业
688370,,行业分类,申万行业,760103,公用事业
300718,,行业分类,申万行业,640108,化工
300227,,行业分类,申万行业,640703,化工
300880,,行业分类,申万行业,630804,化工
300152,,行业分类,申万行业,760104,公用事业
300882,,行业分类,申万行业,630804,化工
300842,,行业分类,申万行业,630504,化工
300885,,行业分类,申万行业,640108,化工
300228,,行业分类,申万行业,640108,化工
002095,,行业分类,申万行业,720704,公用事业
300887,,行业分类,申万行业,460802,机械设备
002046,,行业分类,申万行业,640103,化工
300890,,行业分类,申万行业,630702,化工
300897,,行业分类,申万行业,640107,化工
600388,,行业分类,申万行业,760201,公用事业
688501,,行业分类,申万行业,760201,公用事业
300879,,行业分类,申万行业,640207,化工
